Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HElo,AElo
2026-08-02,2026,AC Oulu,Ilves,1,0,H,U,2.4,3.31,2.62,8,1.0,1.0,1.0,2.0,3.0,7.0,-4.0,4.0,7.0,-3.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,0.0,1.0,71.4,14.3,11.1,55.6,1502.9,1622.2
2026-08-01,2026,TPS,Mariehamn,3,0,H,O,1.51,4.13,5.18,10,2.0,0.0,1.0,3.0,7.0,3.0,4.0,5.0,10.0,-5.0,2.0,-7.0,9.0,1.0,0.0,1.0,1.0,2.0,-1.0,66.7,22.2,0.0,87.5,1482.0,1408.8
2026-08-01,2026,Lahti,Jaro,2,0,H,U,1.51,4.03,5.14,10,2.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,10.0,-10.0,3.0,-7.0,10.0,1.0,0.0,1.0,0.0,1.0,-1.0,44.4,22.2,0.0,75.0,1491.8,1471.1
2026-08-01,2026,Gnistan,KuPS,0,1,A,U,3.36,3.61,1.9,9,2.0,3.0,0.0,0.0,6.0,8.0,-2.0,3.0,1.0,2.0,3.0,7.0,-4.0,1.0,2.0,-1.0,0.0,0.0,0.0,62.5,25.0,50.0,12.5,1554.2,1753.3
2026-07-26,2026,Inter Turku,Gnistan,1,2,A,O,1.68,3.71,4.2,9,1.0,1.0,0.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,50.0,0.0,25.0,37.5,1669.8,1540.7
2026-07-26,2026,Ilves,Lahti,1,0,H,U,2.43,3.42,2.52,8,2.0,1.0,0.0,1.0,8.0,3.0,5.0,2.0,2.0,0.0,6.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,57.1,28.6,28.6,57.1,1615.5,1498.6
2026-07-26,2026,HJK,TPS,1,0,H,U,1.31,5.13,7.07,9,1.0,0.0,1.0,2.0,5.0,1.0,4.0,8.0,4.0,4.0,-3.0,-3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,25.0,0.0,57.1,1615.7,1488.5
2026-07-25,2026,Mariehamn,AC Oulu,1,1,D,U,5.53,4.19,1.46,9,0.0,0.0,3.0,2.0,0.0,1.0,-1.0,8.0,8.0,0.0,-8.0,-7.0,-1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,62.5,33.3,55.6,1406.1,1505.7
2026-07-25,2026,KuPS,VPS,3,1,H,O,2.08,3.34,3.09,9,2.0,1.0,0.0,1.0,7.0,4.0,3.0,5.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,25.0,37.5,1748.2,1562.8
2026-07-24,2026,Jaro,SJK,2,1,H,O,2.89,3.6,2.09,9,1.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,4.0,-2.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,12.5,50.0,1457.6,1584.6
2026-07-20,2026,TPS,Ilves,1,3,A,O,2.67,3.49,2.27,9,2.0,0.0,1.0,3.0,7.0,4.0,3.0,4.0,11.0,-7.0,3.0,-7.0,10.0,1.0,0.0,1.0,0.0,1.0,-1.0,75.0,12.5,0.0,62.5,1495.4,1608.6
2026-07-20,2026,Mariehamn,Lahti,0,2,A,U,5.53,4.19,1.47,8,0.0,0.0,3.0,2.0,0.0,2.0,-2.0,9.0,4.0,5.0,-9.0,-2.0,-7.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,57.1,16.7,66.7,1413.9,1490.8
