Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF,HElo,AElo
2026-05-10,2025,Toulouse,Lyon,2.0,1.0,H,O,4.29,3.78,1.74,6.0,3.0,7.0,8.0,17,1.0,1.0,1.0,0.0,3.0,2.0,1.0,6.0,1.0,5.0,-3.0,1.0,-4.0,0.0,0.0,0.0,1.0,0.0,1.0,31.2,31.2,37.5,31.2,10.0,11.0,9.0,14.0,1532.8,1656.7
2026-05-10,2025,Rennes,Paris FC,2.0,1.0,H,O,1.49,4.52,5.57,5.0,1.0,8.0,2.0,17,2.0,1.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,56.2,18.8,25.0,31.2,20.0,14.0,25.0,15.0,1605.9,1541.4
2026-05-10,2025,Paris SG,Brest,1.0,0.0,H,U,1.16,7.42,13.44,6.0,2.0,13.0,2.0,17,1.0,0.0,1.0,2.0,6.0,1.0,5.0,4.0,8.0,-4.0,2.0,-7.0,9.0,1.0,0.0,1.0,0.0,2.0,-2.0,75.0,12.5,18.8,56.2,18.0,5.0,32.0,6.0,1783.2,1547.4
2026-05-10,2025,Monaco,Lille,0.0,1.0,A,U,2.28,3.66,2.75,3.0,2.0,5.0,2.0,17,2.0,3.0,0.0,0.0,6.0,7.0,-1.0,3.0,1.0,2.0,3.0,6.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0,62.5,25.0,56.2,31.2,13.0,17.0,14.0,9.0,1647.2,1663.9
2026-05-10,2025,Metz,Lorient,0.0,4.0,A,O,3.07,3.58,2.13,2.0,7.0,7.0,4.0,17,0.0,0.0,2.0,2.0,2.0,2.0,0.0,5.0,5.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.5,62.5,12.5,50.0,12.0,11.0,17.0,12.0,1373.3,1530.2
2026-05-10,2025,Le Havre,Marseille,0.0,1.0,A,U,3.42,3.69,1.96,2.0,3.0,3.0,0.0,17,0.0,0.0,0.0,3.0,5.0,1.0,4.0,5.0,7.0,-2.0,0.0,-6.0,6.0,0.0,0.0,0.0,0.0,2.0,-2.0,31.2,18.8,37.5,56.2,12.0,19.0,13.0,23.0,1483.1,1612.6
2026-05-10,2025,Auxerre,Nice,2.0,1.0,H,O,2.36,3.36,2.85,4.0,6.0,10.0,1.0,17,2.0,0.0,0.0,1.0,6.0,2.0,4.0,1.0,4.0,-3.0,5.0,-2.0,7.0,2.0,0.0,2.0,0.0,1.0,-1.0,31.2,43.8,18.8,62.5,17.0,6.0,13.0,14.0,1481.2,1543.2
2026-05-10,2025,Angers,Strasbourg,1.0,1.0,D,U,2.83,3.31,2.39,4.0,6.0,0.0,2.0,17,0.0,2.0,1.0,0.0,1.0,6.0,-5.0,4.0,4.0,0.0,-3.0,2.0,-5.0,0.0,0.0,0.0,1.0,0.0,1.0,37.5,37.5,33.3,40.0,7.0,19.0,12.0,17.0,1448.4,1587.5
2026-05-08,2025,Lens,Nantes,1.0,0.0,H,U,1.43,4.79,6.18,5.0,3.0,8.0,3.0,16,3.0,0.0,0.0,2.0,11.0,1.0,10.0,3.0,5.0,-2.0,8.0,-4.0,12.0,2.0,0.0,2.0,0.0,1.0,-1.0,86.7,13.3,12.5,56.2,29.0,16.0,27.0,16.0,1653.5,1435.1
2026-05-03,2025,Strasbourg,Toulouse,1.0,2.0,A,O,2.56,3.48,2.54,4.0,6.0,8.0,3.0,16,1.0,1.0,1.0,2.0,3.0,7.0,-4.0,4.0,9.0,-5.0,-1.0,-2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,53.3,26.7,33.3,53.3,10.0,9.0,18.0,7.0,1599.8,1520.6
2026-05-03,2025,Paris FC,Brest,4.0,0.0,H,O,2.01,3.44,3.53,8.0,1.0,7.0,3.0,16,2.0,0.0,1.0,2.0,7.0,1.0,6.0,4.0,6.0,-2.0,3.0,-5.0,8.0,1.0,0.0,1.0,0.0,2.0,-2.0,33.3,40.0,20.0,53.3,12.0,5.0,17.0,11.0,1530.6,1558.2
2026-05-03,2025,Lyon,Rennes,4.0,2.0,H,O,2.16,3.59,2.99,9.0,5.0,7.0,5.0,16,2.0,3.0,1.0,0.0,6.0,11.0,-5.0,4.0,3.0,1.0,2.0,8.0,-6.0,1.0,2.0,-1.0,0.0,0.0,0.0,73.3,20.0,46.7,26.7,15.0,22.0,12.0,17.0,1647.6,1615.0
2026-05-03,2025,Lille,Le Havre,1.0,1.0,D,U,1.39,4.48,7.78,10.0,2.0,14.0,5.0,16,1.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,5.0,-4.0,3.0,-1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,53.3,20.0,6.7,60.0,11.0,20.0,13.0,10.0,1668.9,1478.1
2026-05-03,2025,Auxerre,Angers,3.0,1.0,H,O,1.68,3.55,5.16,10.0,3.0,4.0,6.0,16,1.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,7.0,-7.0,3.0,-4.0,7.0,1.0,0.0,1.0,0.0,1.0,-1.0,26.7,46.7,20.0,60.0,11.0,13.0,14.0,10.0,1471.6,1458.0
2026-05-02,2025,Paris SG,Lorient,2.0,2.0,D,O,1.29,5.67,8.6,6.0,3.0,12.0,2.0,16,2.0,0.0,1.0,2.0,7.0,1.0,6.0,3.0,4.0,-1.0,4.0,-3.0,7.0,2.0,0.0,2.0,0.0,1.0,-1.0,80.0,13.3,13.3,53.3,19.0,13.0,25.0,11.0,1789.7,1523.8
2026-05-02,2025,Nice,Lens,1.0,1.0,D,U,4.11,3.96,1.73,2.0,4.0,7.0,8.0,16,0.0,0.0,2.0,2.0,1.0,4.0,-3.0,9.0,8.0,1.0,-8.0,-4.0,-4.0,0.0,0.0,0.0,2.0,1.0,1.0,26.7,33.3,46.7,33.3,8.0,14.0,14.0,19.0,1539.9,1656.7
2026-05-02,2025,Nantes,Marseille,3.0,0.0,H,O,4.45,3.95,1.68,6.0,8.0,7.0,8.0,16,0.0,1.0,2.0,2.0,3.0,2.0,1.0,5.0,4.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,13.3,66.7,40.0,53.3,16.0,14.0,17.0,17.0,1419.7,1628.0
2026-05-02,2025,Metz,Monaco,1.0,2.0,A,O,6.52,5.06,1.39,1.0,3.0,5.0,9.0,16,0.0,1.0,2.0,1.0,4.0,5.0,-1.0,7.0,7.0,0.0,-3.0,-2.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,13.3,60.0,33.3,40.0,19.0,17.0,16.0,19.0,1376.8,1643.7
