Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF,HElo,AElo
2026-05-17,2025,Sassuolo,Lecce,2.0,3.0,A,O,2.67,3.18,2.61,6.0,6.0,2.0,8.0,19,3.0,1.0,0.0,1.0,6.0,2.0,4.0,2.0,3.0,-1.0,4.0,-1.0,5.0,1.0,0.0,1.0,0.0,1.0,-1.0,50.0,38.9,22.2,61.1,10.0,7.0,9.0,11.0,1532.3,1456.4
2026-05-17,2025,Roma,Lazio,2.0,0.0,H,U,1.52,4.09,6.0,7.0,2.0,8.0,3.0,19,2.0,2.0,0.0,1.0,8.0,4.0,4.0,1.0,2.0,-1.0,7.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,66.7,16.7,33.3,33.3,19.0,16.0,12.0,9.0,1681.1,1618.5
2026-05-17,2025,Pisa,Napoli,0.0,3.0,A,O,8.06,4.63,1.37,2.0,5.0,1.0,6.0,19,0.0,1.0,3.0,0.0,2.0,2.0,0.0,5.0,1.0,4.0,-3.0,1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,66.7,50.0,33.3,12.0,12.0,12.0,16.0,1399.3,1704.4
2026-05-17,2025,Juventus,Fiorentina,0.0,2.0,A,U,1.31,5.28,8.38,9.0,4.0,6.0,2.0,19,2.0,1.0,0.0,1.0,5.0,2.0,3.0,1.0,5.0,-4.0,4.0,-3.0,7.0,2.0,0.0,2.0,0.0,1.0,-1.0,55.6,5.6,22.2,44.4,16.0,5.0,25.0,8.0,1706.1,1566.0
2026-05-17,2025,Inter,Verona,1.0,1.0,D,U,1.18,6.85,12.88,6.0,5.0,10.0,2.0,19,3.0,0.0,0.0,2.0,10.0,2.0,8.0,2.0,4.0,-2.0,8.0,-2.0,10.0,3.0,0.0,3.0,0.0,0.0,0.0,77.8,11.1,11.1,55.6,19.0,10.0,19.0,11.0,1806.6,1404.1
2026-05-17,2025,Genoa,Milan,1.0,2.0,A,O,4.65,3.69,1.71,2.0,6.0,4.0,4.0,19,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,2.0,-3.0,-2.0,-1.0,0.0,0.0,0.0,2.0,1.0,1.0,33.3,44.4,55.6,16.7,10.0,5.0,14.0,7.0,1534.1,1667.6
2026-05-17,2025,Como,Parma,1.0,0.0,H,U,1.24,5.69,11.34,7.0,2.0,15.0,2.0,19,1.0,1.0,1.0,1.0,8.0,2.0,6.0,4.0,3.0,1.0,4.0,-1.0,5.0,1.0,0.0,1.0,0.0,1.0,-1.0,50.0,16.7,33.3,33.3,20.0,5.0,11.0,10.0,1640.1,1507.7
2026-05-17,2025,Cagliari,Torino,2.0,1.0,H,O,2.35,3.11,3.08,4.0,3.0,5.0,1.0,19,2.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,33.3,44.4,22.2,50.0,14.0,4.0,18.0,5.0,1476.8,1537.4
2026-05-17,2025,Atalanta,Bologna,0.0,1.0,A,U,1.64,4.06,4.65,1.0,5.0,2.0,5.0,19,1.0,2.0,1.0,1.0,1.0,5.0,-4.0,1.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,50.0,16.7,50.0,27.8,13.0,11.0,21.0,6.0,1661.0,1591.0
2026-05-11,2025,Napoli,Bologna,2.0,3.0,A,O,1.52,4.01,6.06,5.0,4.0,7.0,1.0,18,2.0,2.0,1.0,1.0,5.0,3.0,2.0,2.0,3.0,-1.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,70.6,5.9,47.1,29.4,12.0,10.0,23.0,9.0,1718.2,1577.1
2026-05-10,2025,Verona,Como,0.0,1.0,A,U,8.03,4.6,1.37,3.0,4.0,7.0,7.0,18,0.0,1.0,2.0,1.0,0.0,3.0,-3.0,2.0,2.0,0.0,-2.0,1.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,5.9,64.7,47.1,23.5,13.0,9.0,17.0,13.0,1408.4,1635.9
2026-05-10,2025,Parma,Roma,2.0,3.0,A,O,6.12,4.01,1.53,3.0,7.0,3.0,6.0,18,1.0,1.0,1.0,2.0,2.0,5.0,-3.0,3.0,7.0,-4.0,-1.0,-2.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,23.5,41.2,47.1,47.1,8.0,6.0,13.0,12.0,1513.4,1675.5
2026-05-10,2025,Milan,Atalanta,2.0,3.0,A,O,2.05,3.42,3.47,9.0,5.0,2.0,2.0,18,1.0,1.0,1.0,1.0,3.0,6.0,-3.0,5.0,4.0,1.0,-2.0,2.0,-4.0,0.0,1.0,-1.0,1.0,0.0,1.0,52.9,17.6,29.4,29.4,10.0,14.0,9.0,17.0,1678.5,1650.2
2026-05-10,2025,Fiorentina,Genoa,0.0,0.0,D,U,2.06,3.31,3.56,1.0,3.0,4.0,3.0,18,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,-2.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,23.5,35.3,23.5,41.2,13.0,10.0,15.0,12.0,1567.0,1533.2
