Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF,HElo,AElo
2026-05-16,2025,Porto,Santa Clara,1.0,0.0,H,U,1.31,4.81,8.82,6.0,0.0,8.0,5.0,17,2.0,0.0,0.0,1.0,5.0,4.0,1.0,2.0,6.0,-4.0,3.0,-2.0,5.0,1.0,0.0,1.0,0.0,1.0,-1.0,81.2,0.0,12.5,43.8,14.0,10.0,17.0,17.0,1817.2,1514.5
2026-05-16,2025,Nacional,Guimaraes,2.0,0.0,H,U,1.95,3.46,3.5,3.0,4.0,2.0,6.0,17,2.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,6.0,-4.0,2.0,-3.0,5.0,1.0,0.0,1.0,0.0,1.0,-1.0,31.2,56.2,25.0,62.5,16.0,14.0,17.0,14.0,1422.5,1557.5
2026-05-16,2025,Moreirense,AVS,0.0,0.0,D,U,1.76,3.62,4.16,4.0,0.0,5.0,3.0,17,2.0,1.0,1.0,1.0,4.0,4.0,0.0,3.0,6.0,-3.0,1.0,-2.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,50.0,37.5,6.2,62.5,11.0,13.0,10.0,16.0,1512.3,1421.4
2026-05-16,2025,Famalicao,Alverca,1.0,0.0,H,U,1.59,3.93,4.92,2.0,1.0,6.0,5.0,17,1.0,1.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0,0.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,18.8,56.2,16.0,14.0,26.0,16.0,1598.3,1510.3
2026-05-16,2025,Estoril,Benfica,1.0,3.0,A,O,7.81,5.31,1.31,6.0,8.0,2.0,9.0,17,0.0,1.0,3.0,0.0,2.0,5.0,-3.0,6.0,4.0,2.0,-4.0,1.0,-5.0,0.0,0.0,0.0,1.0,0.0,1.0,37.5,31.2,68.8,0.0,9.0,11.0,21.0,24.0,1507.6,1831.7
2026-05-16,2025,Casa Pia,Rio Ave,1.0,1.0,D,U,1.65,3.82,4.6,5.0,3.0,9.0,0.0,17,0.0,2.0,2.0,1.0,0.0,4.0,-4.0,2.0,3.0,-1.0,-2.0,1.0,-3.0,0.0,1.0,-1.0,0.0,1.0,-1.0,12.5,37.5,31.2,37.5,7.0,15.0,15.0,15.0,1469.8,1492.2
2026-05-16,2025,Arouca,Tondela,3.0,1.0,H,O,3.0,3.46,2.15,4.0,2.0,5.0,6.0,17,2.0,1.0,0.0,1.0,6.0,3.0,3.0,4.0,4.0,0.0,2.0,-1.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,37.5,37.5,25.0,56.2,12.0,10.0,12.0,10.0,1521.1,1430.9
2026-05-11,2025,Tondela,Moreirense,2.0,0.0,H,U,1.91,3.38,3.75,3.0,2.0,1.0,8.0,17,0.0,0.0,1.0,2.0,2.0,2.0,0.0,4.0,8.0,-4.0,-2.0,-6.0,4.0,0.0,0.0,0.0,1.0,2.0,-1.0,6.2,50.0,25.0,50.0,13.0,7.0,20.0,3.0,1417.9,1525.3
2026-05-11,2025,Santa Clara,Nacional,2.0,0.0,H,U,2.04,3.26,3.44,2.0,1.0,4.0,6.0,17,2.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,37.5,50.0,18.8,50.0,9.0,16.0,13.0,14.0,1506.7,1430.3
2026-05-11,2025,Rio Ave,Sp Lisbon,1.0,4.0,A,O,9.64,5.89,1.23,3.0,5.0,5.0,6.0,17,0.0,2.0,1.0,0.0,3.0,6.0,-3.0,4.0,2.0,2.0,-1.0,4.0,-5.0,0.0,1.0,-1.0,0.0,0.0,0.0,18.8,43.8,68.8,0.0,15.0,19.0,21.0,23.0,1494.6,1843.3
2026-05-11,2025,Guimaraes,Casa Pia,0.0,1.0,A,U,1.72,3.67,4.3,2.0,5.0,6.0,4.0,17,2.0,0.0,1.0,3.0,8.0,2.0,6.0,2.0,9.0,-7.0,6.0,-7.0,13.0,2.0,0.0,2.0,0.0,2.0,-2.0,50.0,25.0,18.8,62.5,14.0,9.0,9.0,15.0,1570.7,1456.6
2026-05-11,2025,Gil Vicente,Arouca,1.0,3.0,A,O,1.69,3.67,4.55,5.0,6.0,6.0,2.0,17,2.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,3.0,-1.0,3.0,-1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,56.2,25.0,25.0,62.5,16.0,6.0,17.0,15.0,1535.8,1510.4
2026-05-11,2025,Estrela,Famalicao,0.0,0.0,D,U,3.51,3.42,1.96,1.0,4.0,3.0,10.0,17,1.0,1.0,2.0,0.0,5.0,5.0,0.0,3.0,4.0,-1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,43.8,37.5,25.0,14.0,15.0,10.0,9.0,1424.0,1603.1
2026-05-11,2025,Benfica,Sp Braga,2.0,2.0,D,O,1.4,4.45,6.61,8.0,2.0,8.0,2.0,17,3.0,2.0,0.0,1.0,9.0,3.0,6.0,1.0,2.0,-1.0,8.0,1.0,7.0,3.0,0.0,3.0,0.0,0.0,0.0,68.8,0.0,50.0,25.0,20.0,11.0,28.0,15.0,1835.8,1683.4
2026-05-10,2025,Alverca,Estoril,1.0,1.0,D,U,2.36,3.44,2.69,1.0,3.0,4.0,4.0,17,2.0,0.0,1.0,2.0,6.0,3.0,3.0,6.0,5.0,1.0,0.0,-2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,43.8,31.2,25.0,56.2,12.0,8.0,18.0,8.0,1510.4,1507.5
2026-05-10,2025,AVS,Porto,3.0,1.0,H,O,11.83,6.26,1.19,5.0,4.0,3.0,7.0,17,0.0,3.0,1.0,0.0,2.0,7.0,-5.0,3.0,3.0,0.0,-1.0,4.0,-5.0,0.0,1.0,-1.0,0.0,0.0,0.0,6.2,56.2,87.5,6.2,10.0,12.0,9.0,19.0,1402.9,1835.7
2026-05-04,2025,Sp Lisbon,Guimaraes,5.0,1.0,H,O,1.25,5.64,9.45,10.0,5.0,1.0,7.0,16,1.0,1.0,1.0,1.0,7.0,2.0,5.0,6.0,4.0,2.0,1.0,-2.0,3.0,1.0,0.0,1.0,0.0,1.0,-1.0,73.3,13.3,26.7,60.0,19.0,11.0,17.0,15.0,1839.7,1574.3
2026-05-03,2025,Sp Braga,Estoril,1.0,1.0,D,U,1.69,3.86,4.33,3.0,4.0,5.0,4.0,16,1.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,4.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,20.0,26.7,60.0,7.0,6.0,14.0,8.0,1688.3,1502.6
2026-05-03,2025,Rio Ave,Gil Vicente,0.0,0.0,D,U,3.61,3.42,1.94,2.0,2.0,9.0,7.0,16,1.0,0.0,1.0,1.0,5.0,4.0,1.0,5.0,5.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,46.7,26.7,26.7,19.0,12.0,22.0,19.0,1493.3,1537.0
2026-05-03,2025,Casa Pia,Tondela,0.0,1.0,A,U,2.26,3.15,3.07,3.0,5.0,7.0,2.0,16,0.0,0.0,1.0,2.0,1.0,2.0,-1.0,2.0,9.0,-7.0,-1.0,-7.0,6.0,0.0,0.0,0.0,0.0,2.0,-2.0,13.3,33.3,20.0,60.0,6.0,6.0,11.0,9.0,1468.4,1406.1
2026-05-02,2025,Porto,Alverca,1.0,0.0,H,U,1.19,6.18,12.91,3.0,4.0,5.0,4.0,16,2.0,1.0,0.0,1.0,7.0,4.0,3.0,2.0,4.0,-2.0,5.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,80.0,0.0,20.0,53.3,20.0,16.0,16.0,19.0,1832.9,1513.1
2026-05-02,2025,Nacional,AVS,1.0,2.0,A,O,1.44,4.37,6.2,6.0,3.0,8.0,6.0,16,2.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,-4.0,2.0,-3.0,5.0,1.0,0.0,1.0,0.0,1.0,-1.0,33.3,53.3,0.0,66.7,14.0,12.0,14.0,16.0,1441.8,1391.4
2026-05-02,2025,Moreirense,Estrela,3.0,2.0,H,O,2.43,3.15,2.8,5.0,3.0,1.0,4.0,16,1.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,5.0,-3.0,-1.0,-4.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,46.7,40.0,13.3,53.3,8.0,8.0,12.0,13.0,1517.7,1431.6
2026-05-02,2025,Famalicao,Benfica,2.0,2.0,D,O,5.2,4.01,1.55,5.0,3.0,6.0,4.0,16,2.0,2.0,0.0,0.0,3.0,5.0,-2.0,1.0,3.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,26.7,73.3,0.0,17.0,13.0,25.0,35.0,1597.0,1841.9
2026-05-02,2025,Arouca,Santa Clara,2.0,2.0,D,O,2.81,3.05,2.5,5.0,4.0,5.0,6.0,16,2.0,1.0,1.0,1.0,5.0,3.0,2.0,4.0,4.0,0.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,40.0,40.0,13.3,46.7,13.0,9.0,9.0,17.0,1510.5,1506.5
2026-04-29,2025,Sp Lisbon,Tondela,2.0,2.0,D,O,1.12,7.89,15.63,5.0,2.0,5.0,5.0,15,2.0,1.0,1.0,2.0,8.0,2.0,6.0,4.0,7.0,-3.0,4.0,-5.0,9.0,2.0,1.0,1.0,0.0,2.0,-2.0,78.6,14.3,21.4,64.3,21.0,9.0,16.0,7.0,1848.3,1397.5
2026-04-27,2025,Gil Vicente,Casa Pia,2.0,1.0,H,O,1.54,3.75,5.72,4.0,2.0,4.0,3.0,16,1.0,0.0,1.0,2.0,5.0,1.0,4.0,3.0,7.0,-4.0,2.0,-6.0,8.0,1.0,0.0,1.0,0.0,2.0,-2.0,53.3,26.7,20.0,60.0,18.0,9.0,16.0,17.0,1528.5,1476.9
2026-04-26,2025,Santa Clara,Sp Braga,2.0,1.0,H,O,3.35,3.14,2.13,3.0,2.0,4.0,1.0,16,2.0,3.0,1.0,0.0,3.0,4.0,-1.0,2.0,1.0,1.0,1.0,3.0,-2.0,1.0,0.0,1.0,1.0,0.0,1.0,33.3,53.3,53.3,20.0,10.0,17.0,11.0,20.0,1491.1,1703.7
2026-04-26,2025,Estrela,Porto,1.0,2.0,A,O,9.03,4.74,1.31,3.0,4.0,0.0,6.0,16,1.0,2.0,1.0,0.0,6.0,7.0,-1.0,3.0,4.0,-1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,26.7,40.0,86.7,6.7,16.0,14.0,10.0,15.0,1433.4,1831.1
2026-04-26,2025,Estoril,Famalicao,0.0,1.0,A,U,2.97,3.46,2.18,2.0,6.0,9.0,4.0,16,0.0,1.0,2.0,0.0,2.0,6.0,-4.0,5.0,5.0,0.0,-3.0,1.0,-4.0,0.0,0.0,0.0,1.0,0.0,1.0,40.0,26.7,33.3,26.7,8.0,12.0,16.0,16.0,1510.4,1589.2
2026-04-26,2025,AVS,Sp Lisbon,1.0,1.0,D,U,16.78,8.82,1.1,4.0,8.0,0.0,9.0,16,0.0,2.0,1.0,0.0,1.0,7.0,-6.0,2.0,3.0,-1.0,-1.0,4.0,-5.0,0.0,1.0,-1.0,0.0,0.0,0.0,6.7,60.0,73.3,0.0,9.0,16.0,16.0,19.0,1382.7,1857.1
2026-04-25,2025,Tondela,Nacional,0.0,2.0,A,U,2.7,3.29,2.43,5.0,6.0,8.0,7.0,16,0.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,-1.0,-1.0,-3.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,6.7,46.7,13.3,53.3,10.0,17.0,15.0,14.0,1406.8,1432.5
2026-04-25,2025,Guimaraes,Rio Ave,2.0,0.0,H,U,1.8,3.42,4.18,3.0,4.0,3.0,5.0,16,1.0,3.0,1.0,0.0,7.0,5.0,2.0,3.0,1.0,2.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,46.7,26.7,33.3,33.3,17.0,13.0,6.0,12.0,1566.1,1501.5
2026-04-25,2025,Benfica,Moreirense,4.0,1.0,H,O,1.13,7.63,15.6,8.0,4.0,9.0,2.0,16,2.0,0.0,0.0,1.0,7.0,2.0,5.0,2.0,5.0,-3.0,5.0,-3.0,8.0,2.0,0.0,2.0,0.0,1.0,-1.0,66.7,0.0,26.7,46.7,18.0,9.0,27.0,8.0,1839.2,1520.5
2026-04-24,2025,Alverca,Arouca,2.0,1.0,H,O,2.19,3.28,3.12,3.0,3.0,6.0,3.0,16,1.0,1.0,1.0,2.0,4.0,1.0,3.0,5.0,2.0,3.0,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,40.0,33.3,26.7,60.0,11.0,7.0,20.0,13.0,1502.6,1521.0
2026-04-23,2025,Casa Pia,Sp Braga,0.0,1.0,A,U,5.69,3.92,1.53,1.0,2.0,4.0,5.0,15,0.0,2.0,0.0,1.0,2.0,4.0,-2.0,2.0,3.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,28.6,50.0,21.4,7.0,17.0,8.0,21.0,1481.4,1699.3
2026-04-20,2025,Moreirense,Estoril,1.0,0.0,H,U,2.92,3.29,2.27,4.0,1.0,5.0,1.0,15,0.0,1.0,2.0,2.0,1.0,3.0,-2.0,3.0,6.0,-3.0,-2.0,-3.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,42.9,42.9,28.6,57.1,6.0,8.0,11.0,8.0,1510.2,1520.7
2026-04-19,2025,Sp Lisbon,Benfica,1.0,2.0,A,O,2.1,3.5,3.11,6.0,5.0,3.0,8.0,14,3.0,2.0,0.0,0.0,8.0,5.0,3.0,2.0,3.0,-1.0,6.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,84.6,7.7,71.4,0.0,20.0,11.0,27.0,30.0,1868.2,1828.0
2026-04-19,2025,Sp Braga,Famalicao,2.0,2.0,D,O,1.78,3.51,4.2,4.0,3.0,5.0,2.0,15,1.0,1.0,1.0,0.0,4.0,4.0,0.0,4.0,3.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,21.4,35.7,28.6,6.0,13.0,15.0,19.0,1702.5,1586.0
2026-04-19,2025,Porto,Tondela,2.0,0.0,H,U,1.17,6.09,15.35,8.0,3.0,8.0,3.0,15,2.0,1.0,0.0,1.0,8.0,4.0,4.0,3.0,7.0,-4.0,5.0,-3.0,8.0,2.0,1.0,1.0,0.0,1.0,-1.0,78.6,0.0,23.1,61.5,19.0,11.0,13.0,8.0,1829.5,1408.4
2026-04-19,2025,Arouca,Estrela,1.0,0.0,H,U,2.03,3.23,3.54,3.0,3.0,4.0,3.0,15,2.0,0.0,1.0,2.0,7.0,1.0,6.0,4.0,4.0,0.0,3.0,-3.0,6.0,1.0,0.0,1.0,0.0,1.0,-1.0,35.7,42.9,14.3,50.0,17.0,11.0,9.0,19.0,1513.1,1441.4
2026-04-18,2025,Nacional,Alverca,1.0,0.0,H,U,2.17,3.36,3.08,6.0,4.0,4.0,8.0,15,1.0,1.0,2.0,0.0,3.0,5.0,-2.0,3.0,4.0,-1.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,28.6,57.1,21.4,50.0,13.0,17.0,13.0,22.0,1419.8,1515.3
2026-04-18,2025,Gil Vicente,Guimaraes,0.0,1.0,A,U,2.11,3.22,3.34,6.0,3.0,10.0,3.0,15,1.0,0.0,1.0,2.0,6.0,1.0,5.0,4.0,6.0,-2.0,2.0,-5.0,7.0,1.0,0.0,1.0,0.0,2.0,-2.0,57.1,21.4,21.4,64.3,17.0,14.0,11.0,16.0,1538.0,1556.7
2026-04-18,2025,Casa Pia,Santa Clara,0.0,0.0,D,U,3.57,3.04,2.11,3.0,2.0,4.0,6.0,14,1.0,1.0,0.0,1.0,5.0,5.0,0.0,4.0,6.0,-2.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,15.4,30.8,14.3,50.0,8.0,10.0,6.0,18.0,1481.1,1491.4
2026-04-17,2025,Rio Ave,AVS,2.0,2.0,D,O,1.69,3.68,4.61,8.0,7.0,4.0,9.0,15,1.0,0.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,-3.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,21.4,50.0,0.0,71.4,15.0,7.0,23.0,7.0,1505.0,1379.2
2026-04-13,2025,Tondela,Gil Vicente,2.0,2.0,D,O,3.79,3.2,1.95,5.0,6.0,5.0,5.0,15,0.0,0.0,1.0,2.0,2.0,3.0,-1.0,3.0,6.0,-3.0,-1.0,-3.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,7.1,50.0,28.6,28.6,9.0,10.0,14.0,18.0,1404.7,1541.7
2026-04-12,2025,Sp Braga,Arouca,1.0,0.0,H,U,1.37,4.59,7.19,2.0,1.0,6.0,5.0,14,1.0,1.0,1.0,2.0,6.0,2.0,4.0,6.0,4.0,2.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,53.8,23.1,28.6,57.1,11.0,7.0,9.0,9.0,1697.3,1518.3
